,Soluções,FF,FP,PF,PP
736,6706,0.6249627199522816,0.0,0.00029824038174768865,0.3747390396659708
742,16956,0.8485491861288039,0.013682472281198396,0.00011795234725171031,0.13765038924274592
744,10403,0.7894838027492069,0.0006728828222628088,0.0009612611746611555,0.20888205325386908
751,6721,0.6936467787531617,0.0,0.29296235679214405,0.013390864454694241
798,5973,0.8089737150510631,0.021932027456889335,0.04135275405993638,0.12774150343211116
800,4738,0.7283663993246096,0.0671169269734065,0.08442380751371886,0.12009286618826509
804,26687,0.9275677296061753,0.0038970285157567354,0.001236557125192041,0.06729868475287593
806,13821,0.8847406121120035,0.03328268576803415,0.012155415671803777,0.0698212864481586
807,21940,0.905788514129444,0.011531449407474931,0.0174567000911577,0.06522333637192343
809,10092,0.8136147443519619,0.0,0.0011890606420927466,0.1851961950059453
810,20115,0.9151876708923689,0.0,0.019388516032811335,0.06542381307481979
811,10400,0.8674038461538461,0.007019230769230769,0.07346153846153847,0.05211538461538461
812,13761,0.8609839401206307,0.0,0.044909526923915415,0.09410653295545382
815,8689,0.7927264357233283,0.0,0.0012659684658763955,0.20600759581079525
816,12510,0.8211830535571543,0.030455635491606715,0.09944044764188649,0.04892086330935252
817,14486,0.8795388651111418,0.0033135441115559852,0.014772884164020433,0.1023747066132818
819,11342,0.8555810262740258,0.0,0.0036148827367307353,0.1408040909892435
820,13620,0.8439060205580029,0.00022026431718061675,0.10315712187958884,0.05271659324522761
821,6730,0.7536404160475483,0.0,0.05200594353640416,0.19435364041604755
822,7920,0.8140151515151515,0.003787878787878788,0.05896464646464646,0.12323232323232323
823,10395,0.8662818662818663,0.006541606541606542,0.027609427609427608,0.09956709956709957
824,15247,0.8177346363218994,0.07883518069128354,0.003738440348921099,0.09969174263789599
827,8019,0.7801471505175209,0.024317246539468762,0.00012470382840753212,0.19541089911460283
828,8491,0.7980214344600165,0.0031798374749735015,0.17477328936521022,0.024025438699799787
829,5414,0.6791651274473587,0.004617657923900997,0.039711858145548576,0.27650535648319174
831,9174,0.8345323741007195,0.001962066710268149,0.12186614344887726,0.04163941574013517
832,10474,0.8509642925338935,0.00687416459805232,0.0006683215581439755,0.14149322130991027
833,7580,0.8145118733509235,0.0,0.0013192612137203166,0.1841688654353562
834,5650,0.6738053097345132,0.06920353982300885,0.0017699115044247787,0.2552212389380531
835,10078,0.8554276642190911,0.0004961301845604287,0.013097836872395317,0.13097836872395316
836,7277,0.8693142778617562,0.005359351381063625,0.019238697265356604,0.10608767349182355
838,7151,0.706334778352678,0.0005593623269472801,0.0025171304712627604,0.290588728849112
839,16370,0.900122174709835,0.0014660965180207698,0.00030543677458766036,0.09810629199755651
840,9205,0.8040195545898968,0.02585551330798479,0.001520912547528517,0.1686040195545899
842,11890,0.8752733389402859,0.0015138772077375945,0.005130361648444071,0.11808242220353238
